Comment,Designator,Footprint,LCSC,Quantity
100nF,C3,C_0603_1608Metric,C14663,1
10u,"C17,C18",C_0603_1608Metric,C96446,2
ABS2,D1,Diode_Bridge_Diotec_ABS,C84159,1
AMS1117-3.3,U1,SOT-89-3,C7473143,1
BDR6133,U4,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,C2687793,1
Conn_01x02,"J1,J2,J4,J5",S2BZRLFSN,C157930,4
Conn_01x02,J3,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,C160402,1
Conn_01x01,J8,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J7,PinHeader_1x01_P1.00mm_Vertical,,1
Conn_01x01,J6,PinHeader_1x01_P1.00mm_Vertical,,1
