Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C17,10u,C_0603_1608Metric,114.1,-52.5,0.0,top
C18,10u,C_0603_1608Metric,116.5,-53.275,90.0,top
C3,100nF,C_0603_1608Metric,114.1,-54.0,0.0,top
D1,ABS2,Diode_Bridge_Diotec_ABS,114.6,-47.975,90.0,top
J1,Conn_01x02,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,113.7,-40.55,180.0,top
J2,Conn_01x02,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,114.0,-66.15,0.0,top
J3,Conn_01x02,JST_SHL_SM02B-SHLS-TF_1x02-1MP_P1.00mm_Horizontal,105.55,-58.95,90.0,top
J4,Conn_01x02,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,105.7,-46.05,180.0,top
J5,Conn_01x02,JST_ZH_S2B-ZR-SM4A-TF_1x02-1MP_P1.50mm_Horizontal,105.25,-66.0,0.0,top
J6,Conn_01x01,PinHeader_1x01_P1.00mm_Vertical,102.5,-38.0,0.0,top
J7,Conn_01x01,PinHeader_1x01_P1.00mm_Vertical,105.0,-38.0,0.0,top
J8,Conn_01x01,PinHeader_1x01_P1.00mm_Vertical,107.5,-38.0,0.0,top
U1,AMS1117-3.3,SOT-89-3,114.5,-59.65,-90.0,top
U4,BDR6133,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,107.2,-52.7,180.0,top
